ID,技能名称,技能图标,技能描述,类型(影响技能所在位置),发动类型,触发条件,初始等级,起始效果,终极效果,获取途径,技能ID,升级需求1,,,升级需求2,,,升级需求3,,,升级需求4,,,遗忘需求
SK400605,SK400605,S4053,攻击附加5%的吸血效果,6,6,,1,攻击附加5%的吸血效果,攻击附加5%的吸血效果,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400606,SK400606,S4063,攻击无视护盾,6,6,,1,攻击无视护盾,攻击无视护盾,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400607,SK400607,S4073,被攻击，只承受基础伤害,6,6,,1,被攻击，只承受基础伤害,被攻击，只承受基础伤害,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400608,SK400608,S4083,提高觉醒技5%的伤害效果,6,6,,1,提高觉醒技5%的伤害效果,提高觉醒技5%的伤害效果,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400609,SK400609,S4093,提高5%施放觉醒技时的生命上限,6,6,,1,提高5%施放觉醒技时的生命上限,提高5%施放觉醒技时的生命上限,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400610,SK400610,S4103,降低5%施放觉醒技是的生命上限,6,6,,1,降低5%施放觉醒技是的生命上限,降低5%施放觉醒技是的生命上限,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400611,SK400611,S4113,觉醒技的触发几率提升3%,6,6,,1,觉醒技的触发几率提升3%,觉醒技的触发几率提升3%,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400612,SK400612,S4123,普通技能的施放几率提升5%,6,6,,1,普通技能的施放几率提升5%,普通技能的施放几率提升5%,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400613,SK400613,S4133,普通技能触发的条件降低5%,6,6,,1,普通技能触发的条件降低5%,普通技能触发的条件降低5%,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400614,SK400614,S4143,普通技能触发的效果提升5%,6,6,,1,普通技能触发的效果提升5%,普通技能触发的效果提升5%,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400615,SK400615,S4153,触发护盾的几率提高5%,6,6,,1,触发护盾的几率提高5%,触发护盾的几率提高5%,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400611,SK400611,S4114,战斗获胜之后，总体金币奖励提升20%,6,7,,1,战斗获胜之后，总体金币奖励提升20%,战斗获胜之后，总体金币奖励提升20%,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400612,SK400612,S4124,战斗获胜之后，总体经验奖励提升20%,6,7,,1,战斗获胜之后，总体经验奖励提升20%,战斗获胜之后，总体经验奖励提升20%,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400613,SK400613,S4134,战斗获胜之后，返还1点体力,6,7,,1,战斗获胜之后，返还1点体力,战斗获胜之后，返还1点体力,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400614,SK400614,S4144,战斗获胜之后，获得额外的20点魂力,6,7,,1,战斗获胜之后，获得额外的20点魂力,战斗获胜之后，获得额外的20点魂力,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400615,SK400615,S4154,战斗获胜之后，下次战斗攻击提升1%，最多叠加2次,6,7,,1,战斗获胜之后，下次战斗攻击提升1%，最多叠加2次,战斗获胜之后，下次战斗攻击提升1%，最多叠加2次,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400316,SK400316,S4164,攻击力降低60%，但每次攻击都可以进行一次额外的攻击,3,1,,1,攻击力降低60%，但每次攻击都可以进行一次额外的攻击,攻击力降低60%，但每次攻击都可以进行一次额外的攻击,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400301,SK400301,S4014,生命值低于30%之后，每两次攻击必然暴击一次,3,1,,1,生命值低于30%之后，每两次攻击必然暴击一次,生命值低于30%之后，每两次攻击必然暴击一次,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400302,SK400302,S4024,闪避之后，下次攻击必然暴击,3,1,,1,闪避之后，下次攻击必然暴击,闪避之后，下次攻击必然暴击,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400303,SK400303,S4034,每次攻击触发暴击，则可以进行一次额外攻击,3,1,,1,每次攻击触发暴击，则可以进行一次额外攻击,每次攻击触发暴击，则可以进行一次额外攻击,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400304,SK400304,S4044,攻击暴击之后，可以格挡下次攻击,3,1,,1,攻击暴击之后，可以格挡下次攻击,攻击暴击之后，可以格挡下次攻击,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400305,SK400305,S4054,反击之后，必然格挡下次攻击,3,1,,1,反击之后，必然格挡下次攻击,反击之后，必然格挡下次攻击,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400306,SK400306,S4064,开始战斗时，对敌方2个单位随机附加一个持续3回合的毒状态,3,3,,1,开始战斗时，对敌方2个单位随机附加一个持续3回合的毒状态,开始战斗时，对敌方2个单位随机附加一个持续3回合的毒状态,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400307,SK400307,S4074,进入战斗时，对目标发动一次攻击,3,3,,1,进入战斗时，对目标发动一次攻击,进入战斗时，对目标发动一次攻击,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400308,SK400308,S4084,每次被攻击，则使下次的攻击伤害提高5%，无限叠加，攻击之后清零,3,1,,1,每次被攻击，则使下次的攻击伤害提高5%，无限叠加，攻击之后清零,每次被攻击，则使下次的攻击伤害提高5%，无限叠加，攻击之后清零,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400309,SK400309,S4094,生命值降至30%以下的瞬间，吸血效果提升20%，该效果可叠加5次,3,1,,1,生命值降至30%以下的瞬间，吸血效果提升20%，该效果可叠加5次,生命值降至30%以下的瞬间，吸血效果提升20%，该效果可叠加5次,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
SK400310,SK400310,S4104,每次攻击，造成2.5倍伤害，但需要休息一回合,3,1,,1,每次攻击，造成2.5倍伤害，但需要休息一回合,每次攻击，造成2.5倍伤害，但需要休息一回合,英雄灵魂爆裂随机获取,,,,,,,,,,,,,,
